metric,DATA_EXCHANGE_ENV,TLS_STATUS,SUMMARY_SCENARIO_NAME,SUMMARY_SCENARIO_NAME_COMBINED,AMOUNT_OF_BACKOFFICE_VUS,AMOUNT_OF_ITERATIONS,AMOUNT_OF_BACKOFFICE_ITERATIONS,AMOUNT_OF_CHECKOUT_ITERATIONS,AMOUNT_OF_CHECKOUT_VUS,avg,min,med,max,p(90),p(95)
DeEnSearchQSamsungGalaxyTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2843.73,1596,2433.5,7632,4441.099999999999,5353.749999999998
DeEnSearchQSamsungTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2676.875,1347,2391.5,14078,3749.2999999999997,4224.7499999999945
DeEnAcerAspireS7134Trend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2338.965,1376,2145,5173,3318.199999999999,4214.049999999999
DeEnSearchQSonyNexTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2805.23,1692,2517.5,6593,4264.1,4618.7
DeEnSearchQSonyTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2751.01,1714,2513.5,6075,4116.099999999999,4262.3
DeEnSearchQCanonTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2484.91,1062,1997.5,7809,4603.3,4927.699999999997
DeEnCanonPowershotG9X30Trend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2085.825,1296,2043.5,5172,2980.2999999999997,3827.25
DeEnSearchQCanoTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2088.3,1137,1344.5,8286,4536.9,4993.599999999998
DeEnSearchQAcerTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,3158.19,1735,2702,9244,4901.1,5626.099999999996
DeEnSearchQCanTrend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,1877.19,1087,1333.5,8986,2976.2999999999997,4618.049999999998
DeEnSonyNexVg20eh201Trend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,2504.12,1523,2341,7986,3756.8999999999983,4467.349999999999
DeEnSonyXperiaZ380Trend,BIBA,TLS off,checkoutGlueStats,checkoutGlueStats TLS off,6,10,10,20,5,1845.105,956,1375,4218,2717.8999999999996,3837.799999999998
